UniProt,Group,Family,Name,Symbol,Prediction
O00141,AGC,SGK,Serine/threonine-protein kinase Sgk1 ,SGK1,0.0293
O00311,Other,CDC7,Cell division cycle 7-related protein kinase ,CDC7,0.0093
O00444,Other,PLK,Serine/threonine-protein kinase PLK4 ,PLK4,0.9141
O14920,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit beta ,IKBKB,0.216
O14965,Other,Aur,Aurora kinase A ,AURKA,0.7664
O15111,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit alpha ,CHUK,0.248
O15146,TK,Musk,"Muscle, skeletal receptor tyrosine-protein kinase ",MUSK,0.4362
O15264,CMGC,MAPK,Mitogen-activated protein kinase 13 ,MAPK13,0.6005
O43293,CAMK,DAPK,Death-associated protein kinase 3 ,DAPK3,0.2761
O43318,TKL,MLK,Mitogen-activated protein kinase kinase kinase 7 ,MAP3K7,0.7932
O43353,TKL,RIPK,Receptor-interacting serine/threonine-protein kinase 2 ,RIPK2,0.8643
O43781,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 3 ,DYRK3,0.1079
O60285,CAMK,CAMKL,NUAK family SNF1-like kinase 1 ,NUAK1,0.78
O60674,TK,JakA,Tyrosine-protein kinase JAK2 ,JAK2,0.9055
O75116,AGC,DMPK,Rho-associated protein kinase 2 ,ROCK2,0.0784
O75385,Other,ULK,Serine/threonine-protein kinase ULK1 ,ULK1,0.2465
O75460,Other,IRE,Serine/threonine-protein kinase/endoribonuclease IRE1 ,ERN1,0.1273
O75676,AGC,RSK,Ribosomal protein S6 kinase alpha-4 ,RPS6KA4,0.4476
O75716,Other,NAK,Serine/threonine-protein kinase 16 ,STK16,0.9062
O94804,STE,STE20,Serine/threonine-protein kinase 10 ,STK10,0.7671
O94806,CAMK,PKD,Serine/threonine-protein kinase D3 ,PRKD3,0.8382
O95819,STE,STE20,Mitogen-activated protein kinase kinase kinase kinase 4 ,MAP4K4,0.7471
O96013,STE,STE20,Serine/threonine-protein kinase PAK 4 ,PAK4,0.3325
O96017,CAMK,RAD53,Serine/threonine-protein kinase Chk2 ,CHEK2,0.2145
P00519,TK,Abl,Tyrosine-protein kinase ABL1 ,ABL1,0.9998
P00533,TK,EGFR,Epidermal growth factor receptor ,EGFR,0.8297
P04049,TKL,RAF,RAF proto-oncogene serine/threonine-protein kinase ,RAF1,0.962
P04626,TK,EGFR,Receptor tyrosine-protein kinase erbB-2 ,ERBB2,0.7243
P04629,TK,Trk,High affinity nerve growth factor receptor ,NTRK1,0.7432
P05129,AGC,PKC,Protein kinase C gamma type ,PRKCG,0.0096
P05771,AGC,PKC,Protein kinase C beta type ,PRKCB,0.0192
P06213,TK,InsR,Insulin receptor ,INSR,0.831
P06239,TK,Src,Tyrosine-protein kinase Lck ,LCK,0.9998
P06241,TK,Src,Tyrosine-protein kinase Fyn ,FYN,0.9975
P06493,CMGC,CDK,Cyclin-dependent kinase 1 ,CDK1,0.0533
P07332,TK,Fer,Tyrosine-protein kinase Fes/Fps ,FES,0.8764
P07333,TK,PDGFR,Macrophage colony-stimulating factor 1 receptor ,CSF1R,0.9864
P07947,TK,Src,Tyrosine-protein kinase Yes ,YES1,0.9998
P07948,TK,Src,Tyrosine-protein kinase Lyn ,LYN,0.9997
P07949,TK,Ret,Proto-oncogene tyrosine-protein kinase receptor Ret ,RET,0.9952
P08069,TK,InsR,Insulin-like growth factor 1 receptor ,IGF1R,0.6415
P08581,TK,Met,Hepatocyte growth factor receptor ,MET,0.6496
P08631,TK,Src,Tyrosine-protein kinase HCK ,HCK,0.9919
P08922,TK,Sev,Proto-oncogene tyrosine-protein kinase ROS ,ROS1,0.9256
P09619,TK,PDGFR,Platelet-derived growth factor receptor beta ,PDGFRB,0.985
P09769,TK,Src,Tyrosine-protein kinase Fgr ,FGR,0.9982
P10721,TK,PDGFR,Mast/stem cell growth factor receptor Kit ,KIT,0.9172
P11309,CAMK,PIM,Serine/threonine-protein kinase pim-1 ,PIM1,0.0751
P11362,TK,FGFR,Fibroblast growth factor receptor 1 ,FGFR1,0.9865
P11802,CMGC,CDK,Cyclin-dependent kinase 4 ,CDK4,0.8633
P12931,TK,Src,Proto-oncogene tyrosine-protein kinase Src ,SRC,0.9993
P15735,CAMK,PHK,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform ",PHKG2,0.3025
P16234,TK,PDGFR,Platelet-derived growth factor receptor alpha ,PDGFRA,0.9281
